OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
56;2734;-33,945;19,0032;335,2;1,5;1,2;2021-02-24 0:00:00;1302;Aqua;MODIS;83;6.03;295,9;59,2;D;0;56;778,28998;778,28998;778,28998;29,336428;29,336428;29,336428;95,750443;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
57;2683;-33,9653;19,0606;363,4;1,1;1;2021-02-23 0:00:00;2144;Terra;MODIS;100;6.03;297,7;107,1;N;0;57;615,83002;615,83002;615,83002;38,281361;38,281361;38,281361;15,26405;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
58;2699;-33,9728;19,0462;311,3;2,6;1,5;2021-02-23 0:00:00;2321;Aqua;MODIS;82;6.03;285,2;50,8;N;0;58;900,67999;900,67999;900,67999;33,804779;33,804779;33,804779;102,74463;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
59;2821;-34,0156;18,9624;320,6;4;1,9;2021-02-27 0:00:00;1155;Aqua;MODIS;49;6.03;298,8;78,7;D;0;59;841,23358;841,23358;841,23358;36,793869;36,793869;36,793869;214,97217;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
60;2762;-33,9532;19,0153;346,8;1,1;1;2021-02-25 0:00:00;0004;Aqua;MODIS;100;6.03;288,2;61,4;N;0;60;1018,51;1018,51;1018,51;47,507114;47,507114;47,507114;80,765427;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
61;2566;-33,9712;18,939;341,9;1,6;1,2;2020-12-05 0:00:00;1220;Aqua;MODIS;88;6.03;299,3;79,8;D;0;61;270,32999;270,32999;270,32999;7,5812168;7,5812168;7,5812168;245,72028;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
62;985;-33,9669;19,0147;318,1;2,6;1,6;2016-11-22 0:00:00;0816;Terra;MODIS;35;6.03;299,1;34,4;D;0;62;1488,6699;1488,6699;1488,6699;31,033066;31,033066;31,033066;185,48895;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
63;2782;-33,9872;18,9521;338,7;1,1;1;2021-02-26 0:00:00;1250;Aqua;MODIS;86;6.03;305,2;37,5;D;0;63;355,94;355,94;355,94;21,49869;21,49869;21,49869;37,511002;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
64;2790;-33,9668;18,9585;368,1;1,1;1;2021-02-26 0:00:00;1250;Aqua;MODIS;100;6.03;303,4;115;D;0;64;621,31;621,31;621,31;15,526073;15,526073;15,526073;312,41113;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
65;2816;-34,0009;18,9562;323,9;1;1;2021-02-26 0:00:00;2352;Aqua;MODIS;100;6.03;292,8;23;N;0;65;570,97003;570,97003;570,97003;28,761427;28,761427;28,761427;342,45047;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
