OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
424;2929;-33,95159;19,0563;344,81;0,4;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;n;2;302,27;31,43;N;0;424;895,75;895,75;895,75;26,033329;26,033329;26,033329;96,519402;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
425;2983;-33,96568;19,06531;307,31;0,39;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;n;2;288,03;3,18;N;0;425;461,22;461,22;461,22;29,039568;29,039568;29,039568;57,317894;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
426;2531;-33,96532;18,94245;333,97;0,52;0,67;2020-12-05 0:00:00;1138;N20;VIIRS;n;2;298,57;23,22;D;0;426;356,70001;356,70001;356,70001;33,932693;33,932693;33,932693;293,90555;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
427;3406;-33,9547;18,92975;341,27;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;297,25;2,55;N;0;427;423,62;423,62;423,62;19,061182;19,061182;19,061182;159,5265;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
428;3319;-33,99739;18,93857;334,44;0,42;0,38;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;295,72;18,59;D;0;428;974,40002;974,40002;974,40002;32,741577;32,741577;32,741577;58,165432;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
429;3543;-33,98328;19,01191;317,81;0,33;0,55;2021-02-28 0:00:00;2304;N20;VIIRS;n;2;291,35;1,47;N;0;429;1136,4399;1136,4399;1136,4399;26,34832;26,34832;26,34832;268,76422;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
430;3444;-33,96203;18,93223;316,83;0,39;0,36;2021-02-26 0:00:00;2342;N20;VIIRS;n;2;291,79;1,19;N;0;430;299,84998;299,84998;299,84998;10,304416;10,304416;10,304416;300,50592;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
431;2927;-33,95325;19,06272;367;0,4;0,6;2021-02-23 0:00:00;2258;N20;VIIRS;h;2;303,94;80,81;N;0;431;535,47998;535,47998;535,47998;32,373066;32,373066;32,373066;153,99879;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
432;2886;-33,983;19,07845;354,71;0,4;0,6;2021-02-23 0:00:00;1319;N20;VIIRS;n;2;299,5;20,33;D;0;432;818,58002;818,58002;818,58002;47,551289;47,551289;47,551289;63,812706;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
433;3299;-34,00621;19,00582;336,85;0,42;0,37;2021-02-26 0:00:00;1223;N20;VIIRS;n;2;306,67;8,04;D;0;433;1140,49;1140,49;1140,49;33,255196;33,255196;33,255196;212,75977;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
