OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
35;9381;-34,00185;19,00851;367;0,62;0,72;2021-02-26 0:00:00;1132;N;VIIRS;h;2;299,55;20,54;D;0;35;1083,89;1083,89;1083,89;62,337822;62,337822;62,337822;314,76288;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
36;9574;-33,95252;18,91839;334,08;0,48;0,65;2021-02-26 0:00:00;2251;N;VIIRS;n;2;291,22;4,53;N;0;36;307,69998;307,69998;307,69998;9,3812027;9,3812027;9,3812027;337,87109;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
37;9317;-33,99971;18,99384;298,86;0,53;0,5;2021-02-25 0:00:00;2310;N;VIIRS;n;2;281,62;1,09;N;0;37;593,59998;593,59998;593,59998;34,210411;34,210411;34,210411;212,1813;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
38;9155;-33,95866;19,05432;345;0,39;0,36;2021-02-23 0:00:00;2347;N;VIIRS;n;2;297,87;14,38;N;0;38;616,81;616,81;616,81;36,581879;36,581879;36,581879;95,342255;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
39;8758;-33,95697;18,93338;306,61;0,39;0,36;2020-12-05 0:00:00;2347;N;VIIRS;n;2;289,54;1,12;N;0;39;383,85001;383,85001;383,85001;25,706532;25,706532;25,706532;242,11429;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
40;9361;-33,9913;18,91721;356,29;0,63;0,72;2021-02-26 0:00:00;1132;N;VIIRS;l;2;289,71;18,36;D;0;40;909,10004;909,10004;909,10004;42,925156;42,925156;42,925156;183,16951;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
41;1011;-34,00095;18,9388;319,02;0,55;0,42;2015-03-11 0:00:00;0013;N;VIIRS;n;2;288,61;3,35;N;0;41;1101,5654;1101,5654;1101,5654;18,686472;18,686472;18,686472;193,6911;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
42;1118;-34,01094;18,96237;367;0,39;0,36;2015-03-11 0:00:00;1235;N;VIIRS;h;2;308,97;14,91;D;0;42;1080,45;1080,45;1080,45;23,01095;23,01095;23,01095;46,393974;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
43;9680;-33,98825;18,91775;304,75;0,41;0,6;2021-02-27 0:00:00;0032;N;VIIRS;n;2;288,87;1,04;N;0;43;1043,72;1043,72;1043,72;34,633865;34,633865;34,633865;30,794127;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
44;9758;-34,02333;18,97947;338,92;0,41;0,37;2021-02-28 0:00:00;2354;N;VIIRS;n;2;295,4;4,26;N;0;44;1095,15;1095,15;1095,15;40,233433;40,233433;40,233433;207,88968;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
